# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:18:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp_7mg7k3w/ep1ooquo.json
# random
#   seed = 84276
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727211806.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 1.40017e-05
# Diagonal elements of inverse mass matrix:
# 2.43904e-05, 2.44111e-05, 2.4465e-05, 0.00177907
-590921,0,1.40017e-05,0,1,1,590921,81.7621,0.150045,0.86612,1.08071e-07,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,1.08071e-07,0.0172791,0.421494,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177364,0.0780253
-590921,0,1.40017e-05,0,1,1,590922,81.7621,0.150045,0.86612,1.08071e-07,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,1.08071e-07,0.0172791,0.421494,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177364,0.0780253
-590921,0,1.40017e-05,0,1,1,590924,81.7621,0.150045,0.86612,1.08071e-07,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,1.08071e-07,0.0172791,0.421494,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177364,0.0780253
-590921,0.5,1.40017e-05,1,2,1,590922,81.7621,0.150045,0.86612,3.79005e-08,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,3.79005e-08,0.0172791,0.421494,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177364,0.0780253
-590921,0.5,1.40017e-05,1,2,1,590925,81.7621,0.150045,0.86612,1.15411e-06,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,1.15411e-06,0.0172791,0.421494,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2442,0.177363,0.0780253
-590921,0.5,1.40017e-05,1,2,1,590924,81.7621,0.150045,0.86612,1.96353e-07,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716076,6.20789e-05,0.133818,1.96353e-07,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177364,0.0780254
-590921,0.5,1.40017e-05,1,2,1,590924,81.7621,0.150045,0.86612,7.6398e-07,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133817,0.817621,0.150045,0.716076,6.20789e-05,0.133817,7.6398e-07,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177363,0.0780255
-590922,0.75,1.40017e-05,2,4,1,590923,81.7621,0.150045,0.86612,1.88084e-06,0.817621,0.150045,0.716076,4.15e-05,6.20789e-05,0.133817,0.817621,0.150045,0.716076,6.20789e-05,0.133817,1.88084e-06,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100306,-78.2441,0.177363,0.0780256
-590921,0.9,1.40017e-05,3,10,1,590922,81.7621,0.150045,0.86612,7.89533e-07,0.817621,0.150045,0.716075,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716075,6.20789e-05,0.133818,7.89533e-07,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100306,-78.2441,0.177363,0.0780255
-590921,0.666667,1.40017e-05,1,3,1,590924,81.7621,0.150045,0.86612,1.10429e-06,0.817621,0.150045,0.716075,4.15e-05,6.20789e-05,0.133818,0.817621,0.150045,0.716075,6.20789e-05,0.133818,1.10429e-06,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2441,0.177363,0.0780254
-590922,0.8,1.40017e-05,2,5,1,590925,81.7621,0.150045,0.86612,3.31693e-06,0.817621,0.150045,0.716075,4.15e-05,6.2079e-05,0.133818,0.817621,0.150045,0.716075,6.2079e-05,0.133818,3.31693e-06,0.0172791,0.421493,1069.57,0,0,2.06098,2.06098,0.0289924,223.326,1.91806,0.100305,-78.2442,0.177362,0.0780254
-590922,0.9375,1.40017e-05,4,16,1,590923,81.762,0.150044,0.86612,2.71552e-06,0.81762,0.150044,0.716076,4.15e-05,6.2079e-05,0.133818,0.81762,0.150044,0.716076,6.2079e-05,0.133818,2.71552e-06,0.0172792,0.421494,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2444,0.177363,0.078025
-590922,0.833333,1.40017e-05,2,6,1,590925,81.762,0.150044,0.86612,3.44062e-06,0.81762,0.150044,0.716076,4.15e-05,6.2079e-05,0.133817,0.81762,0.150044,0.716076,6.2079e-05,0.133817,3.44062e-06,0.0172792,0.421494,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2444,0.177363,0.078025
-590922,0.916666,1.40017e-05,3,12,1,590922,81.762,0.150044,0.86612,3.41218e-06,0.81762,0.150044,0.716076,4.15e-05,6.2079e-05,0.133817,0.81762,0.150044,0.716076,6.2079e-05,0.133817,3.41218e-06,0.0172792,0.421494,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2444,0.177363,0.078025
-590922,0.888888,1.40017e-05,3,9,1,590924,81.7621,0.150044,0.86612,2.58703e-06,0.817621,0.150044,0.716076,4.15e-05,6.20789e-05,0.133818,0.817621,0.150044,0.716076,6.20789e-05,0.133818,2.58703e-06,0.0172792,0.421494,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2444,0.177363,0.0780249
-590922,0.916666,1.40017e-05,3,12,1,590925,81.7621,0.150044,0.86612,2.7719e-06,0.817621,0.150044,0.716076,4.15e-05,6.2079e-05,0.133818,0.817621,0.150044,0.716076,6.2079e-05,0.133818,2.7719e-06,0.0172792,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.325,1.91806,0.100305,-78.2445,0.177363,0.0780246
-590922,0.9,1.40017e-05,3,10,1,590922,81.7621,0.150044,0.86612,2.37566e-06,0.817621,0.150044,0.716076,4.15e-05,6.2079e-05,0.133818,0.817621,0.150044,0.716076,6.2079e-05,0.133818,2.37566e-06,0.0172792,0.421495,1069.57,0,0,2.06098,2.06098,0.0289925,223.326,1.91806,0.100305,-78.2444,0.177363,0.0780248
